,HC01_VC54.Estimate..RACE...One.race...White,HC01_VC55.Estimate..RACE...One.race...Black.or.African.American,state,geoid20
0,None,None,36,005
1,None,None,36,067
2,None,None,36,019
3,None,None,36,079
4,None,None,36,069
5,None,None,36,101
6,None,None,36,013
7,None,None,36,047
8,None,None,36,091
9,None,None,36,119
10,None,None,36,085
11,None,None,36,089
12,None,None,36,109
13,None,None,36,113
14,None,None,36,027
15,None,None,36,055
16,None,None,36,065
17,None,None,36,111
18,None,None,36,015
19,None,None,36,051
20,None,None,36,053
21,None,None,36,001
22,None,None,36,009
23,None,None,36,093
24,None,None,36,083
25,None,None,36,081
26,None,None,36,061
27,None,None,36,011
28,None,None,36,087
29,None,None,36,063
30,None,None,36,059
31,None,None,36,045
32,None,None,36,103
33,None,None,36,075
34,None,None,36,117
35,None,None,36,007
36,None,None,36,029
37,None,None,36,105
38,None,None,36,071
